COMUNA;TOTAL INCENDIOS 2019;TOTAL INCENDIOS 2018;TOTAL INCENDIOS 2017;TOTAL INCENDIOS 2016
RENAICO;19;11;4;6
COLLIPULLI;393;250;226;137
ERCILLA;92;116;64;53
TRAIGUEN;67;68;29;22
LUMACO;191;93;81;80
VICTORIA;131;93;69;29
CURACAUTIN;6;4;6;4
LONQUIMAY;11;1;5;7
TEMUCO;93;76;62;46
LAUTARO;49;36;19;18
PERQUENCO;9;19;7;3
GALVARINO;185;99;102;86
NUEVA IMPERIAL;53;34;16;18
CARAHUE;69;81;51;32
SAAVEDRA;5;5;;1
VILCUN;15;16;6;3
CHOLCHOL;69;53;33;46
FREIRE;14;22;8;6
CUNCO;7;6;6;6
PITRUFQUEN;22;17;16;3
GORBEA;12;6;2;3
TOLTEN;8;3;1;1
LONCOCHE;6;11;17;5
VILLARRICA;17;7;11;3
PUCON;4;2;2;2
CURARREHUE;2;2;1;
MELIPEUCO;4;5;1;6
TEODORO SCHMIDT;2;5;4;
PADRE LAS CASAS;70;49;22;26
VALDIVIA;20;8;15;8
MARIQUINA;27;21;14;15
LANCO;5;2;2;1
LOS LAGOS;9;17;21;17
CORRAL;6;3;1;6
MAFIL;5;10;1;2
PANGUIPULLI;5;11;1;1
PAILLACO;16;9;11;7
LA UNION;19;33;11;18
FUTRONO;1;;;
RIO BUENO;8;6;6;3
LAGO RANCO;0;3;1;
OSORNO;7;8;4;3
SAN PABLO;5;4;3;3
PUYEHUE;0;1;;1
PUERTO OCTAY;3;1;;
ENTRE LAGOS;0;;;
RIO NEGRO;0;8;3;1
PURRANQUE;1;1;2;
SAN JUAN DE LA COSTA;9;8;12;4
PUERTO MONTT;65;48;51;49
COCHAMO;3;1;1;
CALBUCO;6;4;7;2
MAULLIN;2;1;1;1
LOS MUERMOS;1;1;;
FRESIA;5;5;1;2
FRUTILLAR;0;;1;
LLANQUIHUE;0;1;3;
PUERTO VARAS;7;14;15;2
CASTRO;9;10;18;12
ANCUD;6;8;6;2
QUEMCHI;0;;2;
CURACO DE VELEZ;0;1;;
DALCAHUE;12;9;11;3
QUINCHAO;2;;1;2
PUQUELDON;0;;;
CHONCHI;8;7;7;3
QUEILEN;0;;1;
QUELLON;1;;;
CHAITEN;0;;2;
PALENA;3;1;4;2
FUTALEUFU;0;1;1;
HUALAIHUE;0;;;
COYHAIQUE;9;24;9;16
LAGO VERDE;1;1;;1
AYSEN;0;2;3;2
CISNES;0;2;1;
GUAITECAS;0;;;
CHILE CHICO;5;6;3;1
RIO IBANEZ;2;2;3;1
COCHRANE;2;1;2;
O'HIGGINS;0;1;;
TORTEL;0;1;;
PUNTA ARENAS;2;6;6;14
LAGUNA BLANCA;0;;;
RIO VERDE;0;1;;1
SAN GREGORIO;1;;1;
NATALES;3;5;3;7
TORRES DEL PAINE;1;2;1;2
PORVENIR;0;2;;2
TIMAUKEL;0;3;1;1
PRIMAVERA;0;;;1
NAVARINO;0;1;;
COLINA;4;16;31;17
LAMPA;31;44;65;49
TILTIL;3;7;24;18
PUENTE ALTO;7;24;20;10
PIRQUE;13;11;5;10
SAN JOSE DE MAIPO;5;25;3;13
SAN BERNARDO;10;22;14;11
BUIN;12;6;2;3
PAINE;16;33;14;11
CALERA DE TANGO;1;2;2;1
TALAGANTE;22;14;13;5
PENAFLOR;9;10;13;7
EL MONTE;22;11;6;3
ISLA DE MAIPO;13;8;8;4
PADRE HURTADO;3;2;7;7
MELIPILLA;72;103;47;50
MARIA PINTO;17;22;17;10
SAN PEDRO;83;45;46;35
CURACAVI;27;45;53;34
ALHUE;11;5;21;14
SANTIAGO;1;;;
INDEPENDENCIA;0;;;
RECOLETA;1;4;10;6
ESTACION CENTRAL;0;;;
CONCHALI;0;;;
HUECHURABA;4;6;10;10
QUILICURA;1;4;12;7
RENCA;0;5;12;10
QUINTA NORMAL;0;;;
PUDAHUEL;9;15;18;13
CERRO NAVIA;0;;;
LO PRADO;0;;;
MAIPU;4;6;9;6
PEDRO AGUIRRE CERDA;0;;;
CERRILLOS;0;2;3;
LO ESPEJO;0;;;
LA PINTANA;1;;;
EL BOSQUE;0;;;
LA FLORIDA;1;10;3;6
LA GRANJA;0;1;;
MACUL;0;;;
PENALOLEN;1;5;5;9
LA REINA;2;;1;
PROVIDENCIA;4;;1;2
NUNOA;0;;;
LAS CONDES;1;2;2;5
VITACURA;0;10;;1
LO BARNECHEA;5;7;4;1
